Unit,unit_keywords,unit_notes,unit_archive
base_pairs,bp,,
cells_per_gram,cell_per_gram,,
centimeters,centimeter,,
count,,,
cubic_meters_per_second,"cubic_meter_per_second, m3s-1, m3/s, cumecs",,
days,day,,
decimal_degrees_WGS1984,decimal_degrees_WGS84,,
decimeters_per_kilometer,,,
degrees_celsius,degree_celsius,,
degrees_celsius_per_minute,degree_celsius_per_minute,,
degrees,"degree, deg",,
grams,"gram, g",,
grams_dissolved_oxygen_per_square_meter_per_day,,,
hectare_square_kilometer,,,
HH:mm,"24 hour based hour:minute, HH:MM",,
hh:mm,"12 hour based hour:minute, hh:MM",,
hh:mm UTC-08:00,"24 hour based hour:minute, HH:MM UTC-08:00",,
HH:mm UTC-08:00,"12 hour based hour:minute, hh:MM UTC-08:00",,
HH:mm:ss,"24 hour based hour:minute:second, HH:MM:SS",,
hh:mm:ss,"12 hour based hour:minute, hh:MM:SS",,
index,,,
killigrams_per_hectar_per_year,,,
killometers_squared,"killometer_squared, km2, squared_kilometer, square_kilometers",,
kilojoules,"kilojoule, kJ",,
kilojoules_per_carbon_mol_biomass,"kilojoule_per_carbon_mol_biomass, kJ_per_C_mol",,
kilojoules_per_compound_per_mole,"kilojoule_per_compound_per_mole, kilojoules_per_mol_compound, kJ_per_Compound_mol",,
kilojoules_per_degree_celsius_per_mole,kilojoule_per_degree_Celsius_per_mole,,
kilometers,"kilometer, km",,
kilometers_squared,"kilometer_squared, km2",,
liters_per_milligram_meter,liter_per_milligram_meter,,
mass_to_charge_ratio,m/z,,
meters,"meter, m",,
meters_cubed_per_second,"meter_cubed_per_second, m3/s, m3s-1",,
meters_per_kilometer_squared,,,
meters_per_pixel,,,
meters_per_second,"meter_per_second, m/s",,
meters_squared,"meter_squared, m2",,
meters_squared_per_gram,square_meters_per_gram,,
micromols_per_liter,micromol_per_liter,,
microsiemens_per_centimeter,microsiemens_per_cm,,
miligrams_analyte_per_liter_per_square_kilometer_per_year,,,
miligrams_per_liter_carbon,,,
miligrams_per_liter_carbon_miligrams_per_liter_nitrogen,,,
miligrams_per_liter_nitrogen,,,
milligrams_carbon_per_liter,,,
milligrams_dissolved oxygen_per_liter_per_day,,,
milligrams_dissolved_oxygen_per_hour_per_liter_sediment,,,
milligrams_per_hour_per_liter_sediment,,,
milligrams_per_kilogram,mg/kg,,
milligrams_per_liter,mg/L,,
milligrams_per_liter_as_carbon,,,
milligrams_per_liter_per_hour,,,
milligrams_per_liter_per_minute,,,
milliliters,mL,,
millimeters,"millimeter, mm",,
millimeters_per_year,,,
minutes,min,,
mols_biomass_per_mol_biomass,,,
mols_electron_per_mol_biomass,,,
mols_hydrogen_ions_per_mols_biomass,mols_H_+_per_mols_biomass,,
mols_water_per_mols_biomass,mols_H2O_per_mols_biomass,,
mols_dihydrogen_phosphate_ions_per_mols_biomass,mols_H2PO4_per_mols_biomass,,
mols_bicarbonate_ions_per_mols_biomass,mols_HCO3_per_mols_biomass,,
mols_hydrogen_sulfide_per_mols_biomass,mols_HS_per_mols_biomass,,
mols_ammonium_ions_per_mols_biomass,mols_NH4_per_mols_biomass,,
mols_oxygen_per_mols_biomass,mols_O2_per_mols_biomass,,
mols_organic_matter_species_per_mols_biomass,mols_OM_species_per_mols_biomass,,
mols_per_liter,mols_per_L,,
N/A,"N/A, NA, -9999",,
nanometers,"nanometer, nm",,
normalized_particle_counts,,,
order,,,
parts_per_million,ppm,,
peaks,,,
people_per_square_kilometer,people_per_km2,,
percent,percentage,,
percent_saturation,,,
percent_saturation_per_minute,,,
pH,,,
pixel,,,
seconds,"sec, second, s",,
tonnes_per_hectar,,,
united_states_dollars,,,
volts,,,
weight_percent,,,
years,year,,
YYYY,,,
YYYY-MM-DD,,,
YYYY-MM-DD h:mm,,,
YYYY-MM-DD HH:mm,YYYY-MM-DD HH:MM,,
YYYY-MM-DD hh:mm:ss,,,
